poolId,latitude,longitude,poolStatus,sourceVisitId,sourceSurveyId,updatedAt,visitId,visitUserName,visitUserId,visitPoolId,visitDate,visitLocatePool,visitCertainty,visitNavMethod,visitDirections,visitLocationComments,visitCoordSource,visitLatitude,visitLongitude,visitVernalPool,visitPoolType,visitInletType,visitOutletType,visitForestUpland,visitForestCondition,visitHabitatAgriculture,visitHabitatLightDev,visitHabitatHeavyDev,visitHabitatPavedRd,visitHabitatDirtRd,visitHabitatPowerline,visitHabitatOther,visitHabitatComment,visitMaxDepth,visitWaterLevelObs,visitHydroPeriod,visitMaxWidth,visitMaxLength,visitPoolTrees,visitPoolShrubs,visitPoolEmergents,visitPoolFloatingVeg,visitSubstrate,visitDisturbDumping,visitDisturbSiltation,visitDisturbVehicleRuts,visitDisturbRunoff,visitDisturbDitching,visitDisturbOther,visitWoodFrogAdults,visitWoodFrogLarvae,visitWoodFrogEgg,visitWoodFrogEggHow,visitSpsAdults,visitSpsLarvae,visitSpsEgg,visitSpsEggHow,visitJesaAdults,visitJesaLarvae,visitJesaEgg,visitJesaEggHow,visitBssaAdults,visitBssaLarvae,visitBssaEgg,visitBssaEggHow,visitFairyShrimp,visitFingerNailClams,visitSpeciesOther1,visitSpeciesOther2,visitSpeciesComments,visitFish,visitFishCount,visitFishSizeSmall,visitFishSizeMedium,visitFishSizeLarge,visitPoolPhoto,createdAt,updatedAt,visitPoolMapped,visitUserIsLandowner,visitLandownerPermission,visitLandowner,visitTownId,visitFishSize,visitWoodFrogPhoto,visitWoodFrogNotes,visitSpsPhoto,visitSpsNotes,visitJesaPhoto,visitJesaNotes,visitBssaPhoto,visitBssaNotes,visitFairyShrimpPhoto,visitFairyShrimpNotes,visitFingerNailClamsPhoto,visitFingerNailClamsNotes,visitNavMethodOther,visitPoolTypeOther,visitSubstrateOther,visitSpeciesOtherName,visitSpeciesOtherCount,visitSpeciesOtherPhoto,visitSpeciesOtherNotes,visitLocationUncertainty,visitObserverUserName,visitWoodFrogiNat,visitSpsiNat,visitJesaiNat,visitBssaiNat,visitFairyShrimpiNat,visitFingerNailClamsiNat,visitSpeciesOtheriNat
None,0.000000,0.000000,Eliminated,0,0,2021-03-24 10:41:49.661715,0,,0,None,,,,,,,,,,,,,,,,f,f,f,f,f,f,,,,,,0,0,0,0,0,0,,f,f,f,f,f,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,f,,,,,,2021-03-22 13:49:52.977636,2021-03-22 13:49:52.977636,t,f,f,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN5,43.389170,-72.510560,Probable,416,0,2021-03-24 10:41:49.661715,416,ADMIN-KWN,0,KWN5,2012-02-20,0,,,,,BASS_thru2004_VPsites.shp,43.38917000,-72.51056000,,,,,,,f,f,f,f,f,f,,,,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,228,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW402,43.119556,-72.620771,Probable,1775,0,2021-03-24 10:41:49.661715,1775,toepfer.alt@gmail.com,0,NEW402,2020-04-02,false,"","","","","",43.11955600,-72.62077100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,"",2020-04-02 20:28:07.041128,2021-03-18 22:32:48.033599,t,f,f,"{""disabled"": true}",236,,,,,,,,,,,,,,"",,,,0,,,"",toepfer.alt@gmail.com,,,,,,,
KWN263,44.408453,-72.401559,Probable,230,0,2021-03-24 10:41:49.661715,230,ADMIN-KWN,0,KWN263,2012-02-20,0,,,,"Long thin, looks good",potential vernal pools in Woodbury.shp,44.40845317,-72.40155873,,,,,,,f,f,f,f,f,f,,visited & confirmed-AE,,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,77,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN28,44.381390,-73.086110,Probable,240,0,2021-03-24 10:41:49.661715,240,ADMIN-KWN,0,KWN28,2012-02-20,0,,,,,BASS_thru2004_VPsites.shp,44.38139000,-73.08611000,,,,,,,f,f,f,f,f,f,,,,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,216,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN53,44.148603,-72.131682,Probable,434,0,2021-03-24 10:41:49.661715,434,ADMIN-KWN,0,KWN53,2012-02-20,0,,,,"Small, near #17,19, and 20",Potential vernal pools in Newbury.shp ; 5/2004,44.14860345,-72.13168207,,,,,,,f,f,f,f,f,f,,visited & confirmed: AE,,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,214,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN708,43.757950,-72.313548,Eliminated,0,0,2021-03-24 10:41:49.661715,560,sfaccio,0,KWN708,2012-04-03,0,Certain,GPS,,No pool -- small clearcut.,,,,,,,,,,f,f,f,f,f,f,,,,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,137,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN76,42.951438,-72.624487,Probable,594,0,2021-03-24 10:41:49.661715,594,ADMIN-KWN,0,KWN76,2012-02-20,0,,,,,Dum_VP.shp  ; 2/2008,42.95143839,-72.62448676,,,,,,,f,f,f,f,f,f,,WF:45/SS:0/JS:0,,,,,,,,,,,f,f,f,f,f,,,0,45,,,0,0,,,0,0,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,182,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN79,42.906103,-72.558728,Probable,631,0,2021-03-24 10:41:49.661715,631,ADMIN-KWN,0,KWN79,2012-02-20,0,,,,,Dum_VP.shp  ; 2/2008,42.90610325,-72.55872808,,,,,,,f,f,f,f,f,f,,WF:17/SS:0/JS:0,,,,,,,,,,,f,f,f,f,f,,,0,17,,,0,0,,,0,0,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,182,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN896,44.214778,-72.755577,Probable,683,0,2021-03-24 10:41:49.661715,683,ADMIN-KWN,0,KWN896,2012-02-20,0,,,,"Very nice pool, deep, very good habitat",Vernal Pools.shp,44.21477810,-72.75557695,,,,,,,f,f,f,f,f,f,,"verified.  amph: Wood Frogs, Spotted Sal., Green Frogs, Spotted Newts, inverts: Caddisflies, Fingernail Clams, Clam shrimp, Disctid beetles",,,,,,,,,,,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,234,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
