poolId,latitude,longitude,poolStatus,sourceVisitId,sourceSurveyId,updatedAt,visitId,visitUserName,visitUserId,visitPoolId,visitDate,visitLocatePool,visitCertainty,visitNavMethod,visitDirections,visitLocationComments,visitCoordSource,visitLatitude,visitLongitude,visitVernalPool,visitPoolType,visitInletType,visitOutletType,visitForestUpland,visitForestCondition,visitHabitatAgriculture,visitHabitatLightDev,visitHabitatHeavyDev,visitHabitatPavedRd,visitHabitatDirtRd,visitHabitatPowerline,visitHabitatOther,visitHabitatComment,visitMaxDepth,visitWaterLevelObs,visitHydroPeriod,visitMaxWidth,visitMaxLength,visitPoolTrees,visitPoolShrubs,visitPoolEmergents,visitPoolFloatingVeg,visitSubstrate,visitDisturbDumping,visitDisturbSiltation,visitDisturbVehicleRuts,visitDisturbRunoff,visitDisturbDitching,visitDisturbOther,visitWoodFrogAdults,visitWoodFrogLarvae,visitWoodFrogEgg,visitWoodFrogEggHow,visitSpsAdults,visitSpsLarvae,visitSpsEgg,visitSpsEggHow,visitJesaAdults,visitJesaLarvae,visitJesaEgg,visitJesaEggHow,visitBssaAdults,visitBssaLarvae,visitBssaEgg,visitBssaEggHow,visitFairyShrimp,visitFingerNailClams,visitSpeciesOther1,visitSpeciesOther2,visitSpeciesComments,visitFish,visitFishCount,visitFishSizeSmall,visitFishSizeMedium,visitFishSizeLarge,visitPoolPhoto,createdAt,updatedAt,visitPoolMapped,visitUserIsLandowner,visitLandownerPermission,visitLandowner,visitTownId,visitFishSize,visitWoodFrogPhoto,visitWoodFrogNotes,visitSpsPhoto,visitSpsNotes,visitJesaPhoto,visitJesaNotes,visitBssaPhoto,visitBssaNotes,visitFairyShrimpPhoto,visitFairyShrimpNotes,visitFingerNailClamsPhoto,visitFingerNailClamsNotes,visitNavMethodOther,visitPoolTypeOther,visitSubstrateOther,visitSpeciesOtherName,visitSpeciesOtherCount,visitSpeciesOtherPhoto,visitSpeciesOtherNotes,visitLocationUncertainty,visitObserverUserName,visitWoodFrogiNat,visitSpsiNat,visitJesaiNat,visitBssaiNat,visitFairyShrimpiNat,visitFingerNailClamsiNat,visitSpeciesOtheriNat
SDF1383,43.452997,-72.487493,Confirmed,1417,0,2021-03-24 10:41:49.661715,1417,sfaccio,0,SDF1383,2011-05-01,1,Certain,GPS,,Entered for Cathy Boetker,GPS,43.45299690,-72.48749314,Yes,Isolated Forest Depression,No Inlet,No Outlet,Deciduous,Undisturbed,f,f,f,f,f,f,,Active sugarbush,2-3 Feet,More than 50%,Semi-permanent,25,40,10,,1,,Leaf litter,f,f,f,f,f,,,1,6,Counted,,0,,,,0,,,,0,,,0,0,,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,224,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW107,43.808410,-72.478820,Confirmed,1064,0,2021-03-24 10:41:49.661715,1064,katherine hood,0,NEW107,2010-04-30,0,Certain,GPS,"TAKE TRAIL TO LEFT AT END OF WHITNEY ROAD, UP HILL.  BEAR RIGHT TO POOL IN PINE WOODS TO POOL.",POOL IS ON MY PROPERTY,GPS,43.80841000,-72.47882000,Yes,Isolated Forest Depression,No Inlet,No Outlet,Coniferous,Minor logging,f,f,f,f,f,f,,,6-12 Inches,Less than 50%,Semi-permanent,12,31,0,10,0,0,Mud,f,f,f,f,f,,0,1,,,0,0,21,Counted,0,0,,,0,0,,,0,0,CADDIS FLY LARVAE,,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,135,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW26,44.690800,-73.301070,Confirmed,1188,0,2021-03-24 10:41:49.661715,1188,Goshawk,0,NEW26,2010-04-13,0,Certain,GPS,Between State Park Road and Donaldson Road,,GPS,44.69080000,-73.30107000,Yes,Isolated Forest Depression,No Inlet,No Outlet,Mixed,Undisturbed,t,f,f,f,f,f,,,6-12 Inches,More than 50%,Ephemeral,10,50,15,5,1,5,Leaf litter,f,f,f,f,f,,,0,,,,0,,,,0,,,,0,3,Counted,0,0,,,Jefferson type hybrids cross St Park Rd. and East Shore Rd. South.,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,40,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW182,44.191110,-72.707650,Confirmed,1131,0,2021-03-24 10:41:49.661715,1131,Matt Peters,0,NEW182,2011-06-10,1,Certain,GPS,Park along Washbowl Rd. Bushwack up and over ridge following GPS.,,GPS,44.19111000,-72.70765000,Yes,Isolated Forest Depression,No Inlet,Ephemeral Outlet,Mixed,Undisturbed,f,f,f,f,f,f,,"part of pool complex, ledgey area",12-24 Inches,More than 50%,Ephemeral,25,80,5,0,2,0,Leaf litter,f,f,f,f,f,,,1,,,,0,5,Counted,,0,,,,0,,,0,0,,Green frogs adults,tucked in ledges south of small conifer swamp. poor visibility due to pollen film.,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,233,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
KWN704,43.757180,-72.317540,Confirmed,556,0,2021-03-24 10:41:49.661715,556,sfaccio,0,KWN704,2012-04-03,1,Certain,GPS,West of New Boston Rd.,,GPS,43.75718000,-72.31754000,Yes,Isolated Forest Depression,No Inlet,No Outlet,Mixed,Minor logging,f,t,f,f,f,f,,Beautiful pool!,2-3 Feet,More than 50%,Ephemeral,30,75,5,2,2,,Leaf litter,f,f,f,f,f,,5,0,60,Estimated,,0,5,Counted,,0,30,Estimated,,0,,,0,0,waterboatmen,caddisfly larvae,,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,137,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
MLS55,44.612810,-72.517230,Confirmed,972,0,2021-03-24 10:41:49.661715,972,michaellewsmith,0,MLS55,2010-04-21,1,Certain,GPS,,,GPS,44.61281000,-72.51723000,Yes,Isolated Forest Depression,No Inlet,Ephemeral Outlet,Deciduous,Undisturbed,f,f,f,f,f,f,,,< 6 Inches,More than 50%,Ephemeral,30,70,,,25,,Leaf litter,f,f,f,f,f,,,0,10,Estimated,,0,,Counted,,0,,,,0,,,0,0,Caddis Fly,,Small pool.  Relatively shallow.  Likely sufficient hydroperiod only in wet years.,f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,64,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW277,43.854420,-72.411720,Confirmed,1201,0,2021-03-24 10:41:49.661715,1201,sfaccio,0,NEW277,2012-04-17,0,,,Adjacent to VAST ttrail W. of Brook Rd.,Nice pool,GPS,43.85442000,-72.41172000,Yes,Isolated Forest Depression,No Inlet,No Outlet,Mixed,Minor logging,f,f,f,f,f,f,VAST trail,,12-24 Inches,More than 50%,Ephemeral,35,75,,,2,,Leaf litter,f,f,f,f,f,,2,0,100,Estimated,1,0,5,Counted,,0,,,,0,,,0,0,Caddis larvae,Newt,"Assume Jefferson Salamander use pool due to proximity of other Jeff populations, but no eggs observed.  No algae, pool very clear.",f,,0,0,0,,2019-06-22 00:16:14.934665,2021-03-18 22:32:48.033599,t,f,f,,129,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
NEW370,43.979150,-73.077960,Confirmed,1751,0,2021-03-24 10:41:49.661715,1751,kevtolan,0,NEW370,2019-05-28,true,Certain,GPS,Located about .75 miles north of junction of FR206 and FR236.,Closet town is East Middlebury,GPS,43.97915000,-73.07796000,Yes,Isolated Forest Depression,No Inlet,No Outlet,Deciduous,Undisturbed,,,,,,,,,Knee-deep,,Ephemeral,20,40,,,,,Leaf litter,,,,,,,0,0,,,0,0,8,Estimated,0,0,,,0,0,,,0,0,,,,,,,,,,2019-10-28 14:54:17.602209,2021-03-18 22:32:48.033599,t,f,t,"{""visitLandownerName"": ""Public Land"", ""visitLandownerEmail"": """", ""visitLandownerPhone"": """", ""visitLandownerAddress"": """"}",117,,,,,,,,,,,,,,"",,,,,,,"",Sue Staats,,,,,,,
NEW371,43.652440,-72.651270,Confirmed,1712,0,2021-03-24 10:41:49.661715,1712,sfaccio@vtecostudies.org,0,NEW371,2019-05-15,true,"",GPS,"Bramhall Preserve near NE corner at sub-summit ~500m west of 2,020' peak. Just east of woods road.","",GPS,43.65244000,-72.65127000,Yes,Isolated Forest Depression,No Inlet,Ephemeral Outlet,Deciduous,Minor logging,,,,,,,,"90% hardwoods: red maple, sugar maple, beech, white birch, red spruce",Knee-deep,More than 50%,Ephemeral,40,80,,10,50,10,Leaf litter,,,,,,,0,1,200,Estimated,0,0,150,Estimated,0,0,,,0,0,,,0,0,,,"Spirea on east side of pool, lots of sedge, some duckweed. Open canopy to south provides a lot of sun exposure.",,,,,,https://s3.amazonaws.com/vpatlas.photos/NEW371/1712/Pool.1?1569607198145,2019-08-21 13:50:52.149636,2021-03-18 22:32:48.033599,t,f,t,"{""visitLandownerName"": ""Bramhall Preserve via Northeast Wilderness Trust"", ""visitLandownerEmail"": """", ""visitLandownerPhone"": """", ""visitLandownerAddress"": """"}",142,,,,,,,,,,,,,,"",,,"caddisfly, dytiscid beetles",,,,"",,,,,,,,
SDF992,43.618640,-72.502561,Confirmed,1789,0,2021-03-24 10:41:49.661715,1779,kpmcfarland,0,SDF992,2020-03-31,true,Certain,Prior Knowledge,"","",VPAtlas Map Marker,43.61864000,-72.50256100,Yes,Manmade,No Inlet,Ephemeral Outlet,Mixed,Minor logging,t,,,,,,,,Hip-deep,Full,Ephemeral,25,10,,,,,Leaf litter,,,,,t,very old ditch prob from quarry days,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,Still mostly ice covered,,,,,,https://s3.amazonaws.com/vpatlas.photos/SDF992/1779/Pool.1?1586095577627,2020-04-05 14:05:46.893467,2021-03-18 22:32:48.033599,t,f,f,"{""disabled"": true}",207,,,,,,,,,,,,,,"",,,,,,,"",kpmcfarland,,,,,,,
