mappedPoolId,mappedByUser,mappedByUserId,mappedDateText,mappedDateUnixSeconds,mappedLatitude,mappedLongitude,mappedConfidence,mappedSource,mappedSource2,mappedPhotoNumber,mappedLocationAccuracy,mappedShape,mappedComments,createdAt,updatedAt
AW1,AW,0,4/9/2010,1270771200,44.41308283,-72.93712494,M,NRCS,OTHER, ,M,Point,"Added by Aaron from landowner WHIP data, with LO permission",,
AW2,AW,0,4/9/2010,1270771200,44.42508987,-72.92962147,M,NRCS,OTHER, ,M,Point,"Added by Aaron from landowner WHIP data, with LO permission",,
JP30,JP,0,1/29/2010,1264723200,44.112636,-72.753844,MH,CIR,Remote CIR,4178-65T,MH,Point,"long thin pool, may have drainage",,
JP35,JP,0,2/5/2010,1265328000,44.036656,-72.747839,MH,CIR,Remote CIR,4198-66T,MH,Point,"One in a cluster of pools, has drainage to west",,
JP36,JP,0,2/5/2010,1265328000,44.043978,-72.741389,M,CIR,Remote CIR,4198-66T,H,Point,may have outlet,,
JP37,JP,0,2/5/2010,1265328000,44.03665,-72.74716,MH,CIR,Remote CIR,4198-66T,MH,Point,may drain into nearby pool to west,,
JP38,JP,0,2/5/2010,1265328000,44.043038,-72.766871,MH,CIR,Remote CIR,4198-67T,MH,Point,Potential pool by road or trail,,
JP39,JP,0,2/5/2010,1265328000,44.044001,-72.767889,MH,CIR,Remote CIR,4198-66T,H,Point,One of two pools on this plateau,,
JP4,JP,0,1/13/2010,1263340800,44.364372,-72.754845,MH,CIR,Remote CIR,4198-57T,H,Point,Potential pool near development,,
JP40,JP,0,2/5/2010,1265328000,44.05236,-72.76878,H,CIR,Remote CIR,4198-66T,H,Point,cluster of pools,,
JP40a,JP,0,2/5/2010,1265328000,44.052733,-72.769527,H,CIR,Remote CIR,4198-66T,H,Point,cluster of pools,,
JP41,JP,0,2/5/2010,1265328000,44.05322,-72.769963,MH,CIR,Remote CIR,4198-66T,H,Point,cluster of pools,,
JP42,JP,0,2/5/2010,1265328000,44.054147,-72.768684,H,CIR,Remote CIR,4198-67T,H,Point,on high bench,,
JP48,JP,0,2/18/2010,1266451200,44.328419,-72.695188,MH,CIR,Remote CIR,4198-76T,H,Point,Nice looking pool on summit,,
JP5,JP,0,1/13/2010,1263340800,44.337769,-72.782156,MH,CIR,Remote CIR,4198-57T,H,Point,Small potentail pool on narrow bench,,
JP52,JP,0,2/18/2010,1266451200,44.257156,-72.688653,MH,CIR,Remote CIR,4198-73T,H,Point,May be vegetated,,
JP53,JP,0,2/18/2010,1266451200,44.26507,-72.706068,M,CIR,Remote CIR,4198-73T,H,Point,May be part of stream (seepage wetland),,
JP7,JP,0,1/13/2010,1263340800,44.335367,-72.773964,M,CIR,Remote CIR,4198-58T,M,Point,maybe a shadow,,
